created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 16:30:04 +0000 2023,1633505372567642112,1633505372567642112,"@SarahMc14 If you DM me your membership number I can transfer my one ticket for Crystal Palace if interested? Upper Tier Block 95. Face value. When I cant go I usually post on TX, but I'll offer to you, if that helps?",False,"[11, 217]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334091211803443e+18,1633409121180344320,150654593.0,150654593,SarahMc14,,,,,False,0,0,False,False,en,en,recent,21887167,21887167,Tim Fowler,timothyfowler,London,"When not enjoying a run in the country, or supporting my football team, I am enjoying my retirement (finally). Should have done it sooner!",,[],False,258,773,18,Wed Feb 25 16:56:59 +0000 2009,17309,,,False,False,1107,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295788951/Tim1coloursmall_normal.jpg,https://pbs.twimg.com/profile_images/1295788951/Tim1coloursmall_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:56:39 +0000 2023,1633512063896113152,1633512063896113152,Selling 2 tickets for Arsenal vs Crystal Palace. Please dm me if you’re interested,False,"[0, 82]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,198016206,198016206,Moore Wilson,moore_tickets,United Kingdom,"pundit, analyst…ticket vendor for all matchday tickets",,[],False,31,90,0,Sun Oct 03 03:17:16 +0000 2010,585,,,True,False,555,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1628721721321594881/uf6E0dXe_normal.jpg,https://pbs.twimg.com/profile_images/1628721721321594881/uf6E0dXe_normal.jpg,https://pbs.twimg.com/profile_banners/198016206/1677152505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:55:25 +0000 2023,1633511753068814355,1633511753068814355,Selling 2 tickets for Arsenal vs Crystal Palace. Inbox me if you’re interested,False,"[0, 78]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1324700119309053952,1324700119309053952,Alexander Miller,miller_tickets,Emirates,"ticket sales available…analyst, pundit, transfer rumors",,[],False,12,70,0,Fri Nov 06 13:08:32 +0000 2020,641,,,False,False,624,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628809152515436546/lBP7ICN1_normal.jpg,https://pbs.twimg.com/profile_images/1628809152515436546/lBP7ICN1_normal.jpg,https://pbs.twimg.com/profile_banners/1324700119309053952/1668004628,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:54:42 +0000 2023,1633511573070258190,1633511573070258190,Selling two tickets for Arsenal vs Crystal Palace. Anyone interested in buying both tickets please inbox me,False,"[0, 107]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,152361565,152361565,Davis Williams,Davis_tickets,"London, England",pundit and selling all match day ticket,,[],False,181,122,0,Sat Jun 05 18:57:37 +0000 2010,443,,,False,False,432,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1628735577821421568/WvAqmkFf_normal.jpg,https://pbs.twimg.com/profile_images/1628735577821421568/WvAqmkFf_normal.jpg,https://pbs.twimg.com/profile_banners/152361565/1677155809,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:01 +0000 2023,1633511148157804544,1633511148157804544,@arsenal_tickets hello mate any info on tickets for the Crystal Palace match?,False,"[0, 77]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,236832230.0,236832230,arsenal_tickets,,,,,False,0,0,False,False,en,en,recent,202560855,202560855,Olga Martinelli,gooneragony,"London, England","I tweet (and retweet) about football | Growing with Arsenal FC through series of mental breakdown, hence the username.",,[],False,1374,485,103,Thu Oct 14 09:42:19 +0000 2010,1621,,,True,False,71500,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1530501775224033283/fqglsZoY_normal.jpg,https://pbs.twimg.com/profile_images/1530501775224033283/fqglsZoY_normal.jpg,https://pbs.twimg.com/profile_banners/202560855/1540265500,0084B4,FFFFFF,DDEEF6,B86EB8,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:55 +0000 2023,1633510116677885968,1633510116677885968,"Selling 2x arsenal v crystal palace 

tickets   block 126 Row 19 Seat 115-114

membership or pdf transfer Dm if you’re 

interested   #Arsenal #AFC  #ARS  #arsenaltickets https://t.co/d5rqbu6oh0",False,"[0, 170]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,171578673,171578673,🔴🕊️,zyglo54,,Working at @ShareRadioUK. Creater and writer of sports blog 'The Red Side of London' https://t.co/yFOqMw39q9 All views are my own COYG!!! #AFC,,"[{'url': 'https://t.co/yFOqMw39q9', 'expanded_url': 'http://theredsideoflondon.wordpress.com', 'display_url': 'theredsideoflondon.wordpress.com', 'indices': [85, 108]}]",False,1221,88,0,Tue Jul 27 17:41:41 +0000 2010,78,,,False,False,160,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1633222105784279043/HbSfSC7u_normal.jpg,https://pbs.twimg.com/profile_images/1633222105784279043/HbSfSC7u_normal.jpg,https://pbs.twimg.com/profile_banners/171578673/1677916915,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:16 +0000 2023,1633509951133077505,1633509951133077505,Selling 2 tickets for Arsenal vs Crystal Palace. Kindly hmu if you’re interested,False,"[0, 80]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,932253288908587009,932253288908587009,William Mckean,william_tickets,Emirates,"all matchday tickets available…pundit, football analyst, transfer rumors and predictions",,[],False,534,18,0,Sun Nov 19 14:24:39 +0000 2017,0,,,False,False,191,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633442323479646210/15gn9Q9C_normal.jpg,https://pbs.twimg.com/profile_images/1633442323479646210/15gn9Q9C_normal.jpg,https://pbs.twimg.com/profile_banners/932253288908587009/1678277985,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:46:40 +0000 2023,1633509548592963585,1633509548592963585,@UtdPlug @SamiMokbel81_DM Manchester United and crystal palace 🤣 😭,False,"[26, 66]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335094132888535e+18,1633509413288853505,1599057055.0,1599057055,UtdPlug,,,,,False,0,0,False,False,en,en,recent,1523967782806769665,1523967782806769665,Yomade,Yomade26,,"If the truth hurts, keep scrolling.",,[],False,59,26,0,Tue May 10 10:07:33 +0000 2022,135,,,False,False,6685,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1572108834449068038/upPT1ChL_normal.jpg,https://pbs.twimg.com/profile_images/1572108834449068038/upPT1ChL_normal.jpg,https://pbs.twimg.com/profile_banners/1523967782806769665/1659872989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:46:07 +0000 2023,1633509410814279680,1633509410814279680,"Brighton players are prime to have this week in fantasy with a double game week Vs Leeds and Crystal Palace!

#Brighton #EPL #Fantasy",False,"[0, 133]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1622701164394340352,1622701164394340352,Fantasy Soccer,FantasyEplTakes,,"Soccer Fantasy,News and Questions! DM me if you want personal fantasy advice!",,[],False,6,400,0,Mon Feb 06 20:58:09 +0000 2023,41,,,False,False,120,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1622707099623981079/IbmYnP7G_normal.jpg,https://pbs.twimg.com/profile_images/1622707099623981079/IbmYnP7G_normal.jpg,https://pbs.twimg.com/profile_banners/1622701164394340352/1678285460,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:37:01 +0000 2023,1633507119482949644,1633507119482949644,"John McGinn on the Crystal Palace performance 🗣️

“We ground out the three points, but we kept giving the ball away and I’m sure the manager won’t be pleased with the second-half performance.” #avfc",False,"[0, 198]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,,False,1,8,False,False,en,en,recent,895941771825262592,895941771825262592,Total Villa,Total_Villa,"Birmingham, England",Covering the latest on all things Aston Villa #avfc 🦁 - Transfers ✍️ - News 🗞 - Quotes 🗣 Opinions & more,https://t.co/PGKdXz4ZfJ,[],False,18062,267,107,Fri Aug 11 09:35:39 +0000 2017,4477,,,False,False,12220,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1022079562954375168/5JagA0ST_normal.jpg,https://pbs.twimg.com/profile_images/1022079562954375168/5JagA0ST_normal.jpg,https://pbs.twimg.com/profile_banners/895941771825262592/1655684451,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,"[{'url': 'https://t.co/PGKdXz4ZfJ', 'expanded_url': 'https://www.facebook.com/totalvilla/', 'display_url': 'facebook.com/totalvilla/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:36:17 +0000 2023,1633506937915547660,1633506937915547660,"Today, Crystal Palace fans are offended at the word banter. 

Not offended that our club is being run into the ground, but offended that apparently “only men with agendas and small willies use the word banter to act like a tosser.”

What a bunch of mongs we really are 😂",False,"[0, 270]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,3,False,False,en,en,recent,268240991,268240991,Sullivan✌🏽🦅🇹🇷,SullivansTweets,"Romford, Essex",“They couldn’t could they? Benteke in the middle.. BENTEKEEEEE! Absolutely unbelievable!”,https://t.co/TTBK6y18CT,[],False,2501,586,8,Fri Mar 18 11:41:45 +0000 2011,3718,,,True,False,56156,,False,False,False,0AA7F5,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1516112409437642753/OfuVdHif_normal.jpg,https://pbs.twimg.com/profile_images/1516112409437642753/OfuVdHif_normal.jpg,https://pbs.twimg.com/profile_banners/268240991/1559656404,F50EBF,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none,[],,"[{'url': 'https://t.co/TTBK6y18CT', 'expanded_url': 'http://www.instagram.com/sullivansinsta', 'display_url': 'instagram.com/sullivansinsta', 'indices': [0, 23]}]",01c7de39d50eab15,https://api.twitter.com/1.1/geo/id/01c7de39d50eab15.json,city,Romford,"Romford, London",GB,United Kingdom,[],Polygon,"[[[0.140821, 51.500544], [0.280358, 51.500544], [0.280358, 51.62063], [0.140821, 51.62063]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
